location,property_type,bedrooms,bathrooms,size_sqft,amenities,price_kes,listing_date,price_per_sqft,amenity_score,month
Westlands,Apartment,3,4,1915.99,Parking (6),25380000,2026-02-18,13246.41569110486,1,2
Karen,Townhouse,4,5,53.82,Parking (3),105000000,2026-02-18,1950947.603121516,1,2
Syokimau,Apartment,3,3,1517.72,Parking (2),10300000,2026-02-18,6786.495532772843,1,2
Westlands,Apartment,2,2,1237.86,Parking (1),12000000,2026-02-18,9694.149580728032,1,2
Westlands,Apartment,5,6,6049.37,Parking (4),35000000,2026-02-18,5785.72644754743,1,2
Kitisuru,House,5,6,3229.2,Parking (4),85000000,2026-02-18,26322.308931004583,1,2
Westlands,Apartment,3,4,1517.72,Parking (2),19840000,2026-02-18,13072.239938855651,1,2
Syokimau,Apartment,2,2,1054.87,Parking (1),7800000,2026-02-18,7394.276071933035,1,2
Syokimau,Apartment,2,2,1173.28,Parking (1),8000000,2026-02-18,6818.491749624983,1,2
Runda,House,4,5,3229.2,"Parking (5), Security",35000000,2026-02-18,10838.597795119535,2,2
Kilimani,Apartment,5,6,3864.28,Parking (2),54000000,2026-02-18,13974.142660469737,1,2
Kilimani,Apartment,4,5,3250.73,Parking (2),48000000,2026-02-18,14765.914117752012,1,2
Kilimani,Apartment,4,5,2970.86,Parking (2),44000000,2026-02-18,14810.526244925712,1,2
Westlands,Apartment,1,1,559.73,Parking (1),6100000,2026-02-18,10898.111589516373,1,2
Westlands,Apartment,1,1,947.23,Parking (1),10300000,2026-02-18,10873.811006830443,1,2
Kileleshwa,Apartment,5,6,678.13,Parking (3),48000000,2026-02-18,70782.88823676876,1,2
Kilimani,Apartment,3,4,2325.02,Parking (2),36000000,2026-02-18,15483.737774298716,1,2
Loresho,Apartment,4,5,1184.04,"Parking (3), Security",75000000,2026-02-18,63342.45464680248,2,2
Westlands,Apartment,1,1,602.78,Parking (1),6830000,2026-02-18,11330.833803377684,1,2
Nyari,House,8,9,86.11,Parking (7),180000000,2026-02-18,2090349.5528974568,1,2
Westlands,Apartment,3,3,1184.04,Parking (2),19000000,2026-02-18,16046.75517718996,1,2
Kiambu Road,Townhouse,4,5,3229.2,Parking (3),34500000,2026-02-18,10683.760683760684,1,2
Syokimau,Apartment,2,2,1162.51,Parking (1),7500000,2026-02-18,6451.557405957798,1,2
Kilimani,Apartment,3,4,2206.62,Parking (2),32000000,2026-02-18,14501.817258975267,1,2
Lavington,Townhouse,5,5,3821.22,Parking (4),115000000,2026-02-18,30095.100517635732,1,2
Lavington,Apartment,2,2,635.08,Parking (2),10000000,2026-02-18,15746.047742016754,1,2
Syokimau,Apartment,2,2,1184.04,Parking (1),7500000,2026-02-18,6334.245464680247,1,2
Kyuna,House,5,6,710.42,Parking (4),131000000,2026-02-18,184397.96176909434,1,2
Westlands,Apartment,3,3,1700.71,Parking (2),18500000,2026-02-18,10877.80985588372,1,2
Kileleshwa,Apartment,2,1,96.88,Parking (1),9000000,2026-02-18,92898.43104872007,1,2
Westlands,Apartment,2,2,1291.68,Parking (1),10206800,2026-02-18,7901.957141087575,1,2
Syokimau,Apartment,3,3,1636.13,Parking (1),9700000,2026-02-18,5928.624253573982,1,2
Westlands,Apartment,2,3,1399.32,Parking (1),17200000,2026-02-18,12291.684532487208,1,2
Westlands,Apartment,3,4,2152.8,Parking (2),17054400,2026-02-18,7921.962095875138,1,2
Westlands,Apartment,4,5,2475.72,Parking (2),19638400,2026-02-18,7932.399463590391,1,2
Westlands,Apartment,4,5,1184.04,Parking (3),34520000,2026-02-18,29154.420458768287,1,2
Westlands,Apartment,3,4,1636.13,Parking (2),21000000,2026-02-18,12835.165909799343,1,2
Kilimani,Apartment,2,2,1184.04,Parking (1),12200000,2026-02-18,10303.70595587987,1,2
Kilimani,Apartment,1,1,624.31,Parking (1),6200000,2026-02-18,9930.963784017556,1,2
Kilimani,Apartment,1,1,667.37,Parking (1),6600000,2026-02-18,9889.56650733476,1,2
Kitisuru,Townhouse,5,5,3767.4,Parking (6),80000000,2026-02-18,21234.803843499496,1,2
Runda,House,5,6,839.59,Parking (4),260000000,2026-02-18,309674.9603973368,1,2
Kileleshwa,Apartment,2,2,1280.92,Parking (1),12000000,2026-02-18,9368.266558411142,1,2
Parklands,Apartment,2,2,990.29,Parking (2),11200000,2026-02-18,11309.818336042978,1,2
Parklands,Apartment,1,1,645.84,Parking (1),6600000,2026-02-18,10219.249349684133,1,2
Syokimau,Apartment,1,1,592.02,Parking (1),4800000,2026-02-18,8107.8341947907165,1,2
Westlands,Apartment,5,6,3605.94,Parking (3),28553200,2026-02-18,7918.379118898262,1,2
Westlands,Apartment,2,2,990.29,Parking (2),12000000,2026-02-18,12117.662502903191,1,2
Westlands,Apartment,3,4,1711.48,Parking (2),18300000,2026-02-18,10692.500058428963,1,2
Karen,House,4,4,3229.2,None,140000000,2026-02-18,43354.39118047814,0,2
Westlands,Apartment,2,3,1184.04,Parking (2),13860000,2026-02-18,11705.685618729098,1,2
Westlands,Apartment,1,1,635.08,Parking (1),8000000,2026-02-18,12596.838193613403,1,2
Kitisuru,House,5,7,86.11,Parking (10),350000000,2026-02-18,4064568.575078388,1,2
Kilimani,Apartment,5,6,3250.73,Parking (4),33500000,2026-02-18,10305.37756134776,1,2
Westlands,Apartment,1,1,882.65,Parking (1),6976800,2026-02-18,7904.378859117431,1,2
Westlands,Apartment,4,5,1184.04,Parking (3),85000000,2026-02-18,71788.11526637613,1,2
Riverside,Apartment,2,3,1184.04,Parking (2),18000000,2026-02-18,15202.189115232593,1,2
Muthangari,Apartment,3,5,1733.0,Parking (2),27790000,2026-02-18,16035.776110790537,1,2
Kileleshwa,Apartment,2,1,96.88,Parking (1),90000000,2026-02-18,928984.3104872007,1,2
Westlands,Apartment,2,3,1184.04,Parking (2),14000000,2026-02-18,11823.924867403128,1,2
Parklands,Apartment,6,5,5597.28,Parking (3),65000000,2026-02-18,11612.783351913788,1,2
Syokimau,Apartment,2,2,1184.04,Parking (2),9000000,2026-02-18,7601.094557616297,1,2
Kilimani,Apartment,1,1,1184.04,Parking (1),10500000,2026-02-18,8867.943650552346,1,2
Westlands,Apartment,2,2,1722.24,Parking (2),23000000,2026-02-18,13354.700854700855,1,2
Kilimani,Apartment,3,3,1453.14,Parking (3),14500000,2026-02-18,9978.391620903698,1,2
Kiambu Road,House,7,8,9999.76,Parking (6),85000000,2026-02-18,8500.204004896117,1,2
Loresho,Apartment,4,5,43.06,"Parking (3), Security",75000000,2026-02-18,1741755.689735253,2,2
